50.4927 	EXP 	New trial (rep=0, index=0): OrderedDict([('TrialType', 'MatchFaces'), ('Top', 'stimuli/MatchFaces.bmp'), ('Left', 'stimuli/EmptyFace.bmp'), ('Right', 'stimuli/EmptyFace.bmp'), ('EmptyFrame', 'stimuli/EmptyFrame.bmp'), ('SelectedFrame', 'stimuli/EmptyFrame.bmp'), ('Correct', 'Null'), ('Emotion', None), ('Gender', None), ('TrialLength', 3), ('FixationLength', 1)])
50.6829 	EXP 	BeginningFixationCross: autoDraw = False
50.6829 	EXP 	TopImage: image = 'stimuli/MatchFaces.bmp'
50.6829 	EXP 	LeftFrame: image = 'stimuli/EmptyFrame.bmp'
50.6829 	EXP 	LeftImage: image = 'stimuli/EmptyFace.bmp'
50.6829 	EXP 	RightFrame: image = 'stimuli/EmptyFrame.bmp'
50.6829 	EXP 	RightImage: image = 'stimuli/EmptyFace.bmp'
50.6829 	EXP 	TopImage: autoDraw = True
50.6829 	EXP 	LeftFrame: autoDraw = True
50.6829 	EXP 	LeftImage: autoDraw = True
50.6829 	EXP 	RightFrame: autoDraw = True
50.6829 	EXP 	RightImage: autoDraw = True
53.5082 	EXP 	TopImage: autoDraw = False
53.5082 	EXP 	LeftFrame: autoDraw = False
53.5082 	EXP 	LeftImage: autoDraw = False
53.5082 	EXP 	RightFrame: autoDraw = False
53.5082 	EXP 	RightImage: autoDraw = False
53.5082 	EXP 	TrialFixationEnd: autoDraw = True
54.4982 	EXP 	New trial (rep=0, index=1): OrderedDict([('TrialType', 'Fear'), ('Top', 'stimuli/23M_FE_O.BMP'), ('Left', 'stimuli/23M_FE_O.BMP'), ('Right', 'stimuli/24M_FE_O.BMP'), ('EmptyFrame', 'stimuli/EmptyFrame.bmp'), ('SelectedFrame', 'stimuli/RedFrame.bmp'), ('Correct', '1'), ('Emotion', 'Fear'), ('Gender', 'Male'), ('TrialLength', 3), ('FixationLength', 1)])
54.6481 	EXP 	TrialFixationEnd: autoDraw = False
54.6481 	EXP 	TopImage: autoDraw = False
54.6481 	EXP 	LeftFrame: autoDraw = False
54.6481 	EXP 	LeftImage: autoDraw = False
54.6481 	EXP 	RightFrame: autoDraw = False
54.6481 	EXP 	RightImage: autoDraw = False
54.6481 	EXP 	TrialFixationEnd: autoDraw = False
54.6481 	EXP 	TopImage: image = 'stimuli/23M_FE_O.BMP'
54.6481 	EXP 	LeftFrame: image = 'stimuli/EmptyFrame.bmp'
54.6481 	EXP 	LeftImage: image = 'stimuli/23M_FE_O.BMP'
54.6481 	EXP 	RightFrame: image = 'stimuli/EmptyFrame.bmp'
54.6481 	EXP 	RightImage: image = 'stimuli/24M_FE_O.BMP'
54.6481 	EXP 	TopImage: autoDraw = True
54.6481 	EXP 	LeftFrame: autoDraw = True
54.6481 	EXP 	LeftImage: autoDraw = True
54.6481 	EXP 	RightFrame: autoDraw = True
54.6481 	EXP 	RightImage: autoDraw = True
57.5127 	EXP 	TopImage: autoDraw = False
57.5127 	EXP 	LeftFrame: autoDraw = False
57.5127 	EXP 	LeftImage: autoDraw = False
57.5127 	EXP 	RightFrame: autoDraw = False
57.5127 	EXP 	RightImage: autoDraw = False
57.5127 	EXP 	TrialFixationEnd: autoDraw = True
58.5041 	EXP 	New trial (rep=0, index=2): OrderedDict([('TrialType', 'Fear'), ('Top', 'stimuli/19F_FE_O.BMP'), ('Left', 'stimuli/18F_FE_O.BMP'), ('Right', 'stimuli/19F_FE_O.BMP'), ('EmptyFrame', 'stimuli/EmptyFrame.bmp'), ('SelectedFrame', 'stimuli/RedFrame.bmp'), ('Correct', '2'), ('Emotion', 'Fear'), ('Gender', 'Female'), ('TrialLength', 3), ('FixationLength', 1)])
58.5370 	EXP 	TrialFixationEnd: autoDraw = False
58.5370 	EXP 	TopImage: autoDraw = False
58.5370 	EXP 	LeftFrame: autoDraw = False
58.5370 	EXP 	LeftImage: autoDraw = False
58.5370 	EXP 	RightFrame: autoDraw = False
58.5370 	EXP 	RightImage: autoDraw = False
58.5370 	EXP 	TrialFixationEnd: autoDraw = False
58.5370 	EXP 	TopImage: image = 'stimuli/19F_FE_O.BMP'
58.5370 	EXP 	LeftFrame: image = 'stimuli/EmptyFrame.bmp'
58.5370 	EXP 	LeftImage: image = 'stimuli/18F_FE_O.BMP'
58.5370 	EXP 	RightFrame: image = 'stimuli/EmptyFrame.bmp'
58.5370 	EXP 	RightImage: image = 'stimuli/19F_FE_O.BMP'
58.5370 	EXP 	TopImage: autoDraw = True
58.5370 	EXP 	LeftFrame: autoDraw = True
58.5370 	EXP 	LeftImage: autoDraw = True
58.5370 	EXP 	RightFrame: autoDraw = True
58.5370 	EXP 	RightImage: autoDraw = True
61.5192 	EXP 	TopImage: autoDraw = False
61.5192 	EXP 	LeftFrame: autoDraw = False
61.5192 	EXP 	LeftImage: autoDraw = False
61.5192 	EXP 	RightFrame: autoDraw = False
61.5192 	EXP 	RightImage: autoDraw = False
61.5192 	EXP 	TrialFixationEnd: autoDraw = True
62.5150 	EXP 	New trial (rep=0, index=3): OrderedDict([('TrialType', 'Fear'), ('Top', 'stimuli/17F_FE_O.BMP'), ('Left', 'stimuli/17F_FE_O.BMP'), ('Right', 'stimuli/16F_FE_O.BMP'), ('EmptyFrame', 'stimuli/EmptyFrame.bmp'), ('SelectedFrame', 'stimuli/RedFrame.bmp'), ('Correct', '1'), ('Emotion', 'Fear'), ('Gender', 'Female'), ('TrialLength', 3), ('FixationLength', 1)])
62.5503 	EXP 	TrialFixationEnd: autoDraw = False
62.5503 	EXP 	TopImage: autoDraw = False
62.5503 	EXP 	LeftFrame: autoDraw = False
62.5503 	EXP 	LeftImage: autoDraw = False
62.5503 	EXP 	RightFrame: autoDraw = False
62.5503 	EXP 	RightImage: autoDraw = False
62.5503 	EXP 	TrialFixationEnd: autoDraw = False
62.5503 	EXP 	TopImage: image = 'stimuli/17F_FE_O.BMP'
62.5503 	EXP 	LeftFrame: image = 'stimuli/EmptyFrame.bmp'
62.5503 	EXP 	LeftImage: image = 'stimuli/17F_FE_O.BMP'
62.5503 	EXP 	RightFrame: image = 'stimuli/EmptyFrame.bmp'
62.5503 	EXP 	RightImage: image = 'stimuli/16F_FE_O.BMP'
62.5503 	EXP 	TopImage: autoDraw = True
62.5503 	EXP 	LeftFrame: autoDraw = True
62.5503 	EXP 	LeftImage: autoDraw = True
62.5503 	EXP 	RightFrame: autoDraw = True
62.5503 	EXP 	RightImage: autoDraw = True
65.5309 	EXP 	TopImage: autoDraw = False
65.5309 	EXP 	LeftFrame: autoDraw = False
65.5309 	EXP 	LeftImage: autoDraw = False
65.5309 	EXP 	RightFrame: autoDraw = False
65.5309 	EXP 	RightImage: autoDraw = False
65.5309 	EXP 	TrialFixationEnd: autoDraw = True
66.5204 	EXP 	New trial (rep=0, index=4): OrderedDict([('TrialType', 'Fear'), ('Top', 'stimuli/21M_FE_O.BMP'), ('Left', 'stimuli/21M_FE_O.BMP'), ('Right', 'stimuli/22M_FE_O.BMP'), ('EmptyFrame', 'stimuli/EmptyFrame.bmp'), ('SelectedFrame', 'stimuli/RedFrame.bmp'), ('Correct', '1'), ('Emotion', 'Fear'), ('Gender', 'Male'), ('TrialLength', 3), ('FixationLength', 1)])
66.5523 	EXP 	TrialFixationEnd: autoDraw = False
66.5523 	EXP 	TopImage: autoDraw = False
66.5523 	EXP 	LeftFrame: autoDraw = False
66.5523 	EXP 	LeftImage: autoDraw = False
66.5523 	EXP 	RightFrame: autoDraw = False
66.5523 	EXP 	RightImage: autoDraw = False
66.5523 	EXP 	TrialFixationEnd: autoDraw = False
66.5523 	EXP 	TopImage: image = 'stimuli/21M_FE_O.BMP'
66.5523 	EXP 	LeftFrame: image = 'stimuli/EmptyFrame.bmp'
66.5523 	EXP 	LeftImage: image = 'stimuli/21M_FE_O.BMP'
66.5523 	EXP 	RightFrame: image = 'stimuli/EmptyFrame.bmp'
66.5523 	EXP 	RightImage: image = 'stimuli/22M_FE_O.BMP'
66.5523 	EXP 	TopImage: autoDraw = True
